Date,Price,Open,High,Low,Vol.,Change %
2015-09-04,241.93,240.89,244.09,238.2,3.69M,-0.01480
2015-09-03,245.57,252.06,252.08,245,4.19M,-0.00860
2015-09-02,247.69,245.3,247.88,239.78,4.63M,0.03800
2015-09-01,238.63,240.34,246,236.97,5.45M,-0.04190
2015-08-31,249.06,245.62,254.95,245.51,4.70M,0.00230
2015-08-28,248.48,241.86,251.45,241.57,5.51M,0.02260
2015-08-27,242.99,231,244.75,230.81,7.66M,0.08070
2015-08-26,224.84,227.93,228,215.51,4.96M,0.02190
2015-08-25,220.03,230.52,230.9,219.12,4.33M,0.00530
2015-08-24,218.87,202.79,231.4,195,9.58M,-0.05160
2015-08-21,230.77,236,243.8,230.51,6.59M,-0.04710
2015-08-20,242.18,252.06,254.56,241.9,4.91M,-0.05120
2015-08-19,255.25,260.33,260.65,255.02,3.60M,-0.02100
2015-08-18,260.72,255.38,260.95,253.56,4.20M,0.02250
2015-08-17,254.99,255.56,256.59,250.51,7.18M,0.04870
2015-08-14,243.15,247.24,247.93,241.77,4.36M,0.00260
2015-08-13,242.51,239.86,246.48,239.12,4.69M,0.01820
2015-08-12,238.17,235,239.77,232.74,3.74M,0.00340
2015-08-11,237.37,237.15,239.3,234.44,4.26M,-0.01560
2015-08-10,241.14,238.15,242.97,236.05,4.19M,-0.00560
2015-08-07,242.51,243.58,243.73,238.39,5.07M,-0.01470
2015-08-06,246.13,249.54,255,236.12,14.62M,-0.08880
2015-08-05,270.13,263.58,271,260.4,6.21M,0.01450
2015-08-04,266.28,260.01,266.72,258.34,2.35M,0.02420
2015-08-03,259.99,266.29,266.71,257.07,2.55M,-0.02310
2015-07-31,266.15,267.6,269.36,265.12,2.22M,-0.00240
2015-07-30,266.79,262.69,266.94,262.11,2.03M,0.01130
2015-07-29,263.82,264.27,267.89,262,2.79M,-0.00380
2015-07-28,264.82,255.75,265.4,251.84,3.90M,0.04670
2015-07-27,253.01,262.43,264.43,250.79,4.69M,-0.04670
2015-07-24,265.41,267.38,271.09,263.92,2.84M,-0.00670
2015-07-23,267.2,269.65,269.9,265.27,2.23M,-0.00250
2015-07-22,267.87,261.27,269.44,260.86,3.10M,0.00410
2015-07-21,266.77,270.05,273.5,266.55,6.11M,-0.05490
2015-07-20,282.26,275,286.65,272.54,4.98M,0.02770
2015-07-17,274.66,272.5,275.54,268.25,5.00M,0.02990
2015-07-16,266.68,264.22,267.2,263.16,1.62M,0.01350
2015-07-15,263.14,266.74,267.49,262.08,2.02M,-0.00940
2015-07-14,265.65,262.1,265.99,260.51,1.91M,0.01330
2015-07-13,262.16,262.25,262.55,256.05,2.96M,0.01160
2015-07-10,259.15,262.22,263,257.82,2.61M,0.00480
2015-07-09,257.92,259.08,262.95,256.79,3.33M,0.01160
2015-07-08,254.96,259.32,260.8,254.31,6.22M,-0.04820
2015-07-07,267.88,275,275.2,260.77,6.11M,-0.04230
2015-07-06,279.72,278.88,281.69,276.3,4.12M,-0.00110
2015-07-02,280.02,280.19,282.45,273.31,7.16M,0.04040
2015-07-01,269.15,271.11,272.62,267.85,2.10M,0.00330
2015-06-30,268.26,264.8,270.92,264,3.09M,0.02380
2015-06-29,262.02,261.95,265.95,260.7,3.48M,-0.01900
2015-06-26,267.09,268.89,269.11,266,3.84M,-0.00630
2015-06-25,268.79,266.45,271.41,265.25,2.85M,0.01370
2015-06-24,265.17,266.98,267.35,263.72,2.41M,-0.00930
2015-06-23,267.67,260.32,268,258.57,3.87M,0.03030
2015-06-22,259.79,262.15,264.4,255.69,4.56M,-0.01040
2015-06-19,262.51,262.4,263.8,260.1,2.46M,0.00240
2015-06-18,261.89,262,263.46,260.02,2.78M,0.00570
2015-06-17,260.41,252.17,264.36,252.02,5.51M,0.02880
2015-06-16,253.12,250.13,253.44,249.09,1.98M,0.01090
2015-06-15,250.38,249.7,251.28,246.01,2.19M,-0.00120
2015-06-12,250.69,250.21,253.46,250.21,1.42M,-0.00290
2015-06-11,251.41,253.26,254.37,250.43,2.04M,0.00280
2015-06-10,250.7,251.9,254,248.5,3.45M,-0.02070
2015-06-09,256,255.4,257.74,254.14,2.61M,-0.00110
2015-06-08,256.29,250.85,258.75,250.31,5.02M,0.02870
2015-06-05,249.14,246,249.7,245.68,3.02M,0.01310
2015-06-04,245.92,247.5,249.3,245.71,2.45M,-0.01230
2015-06-03,248.99,248.2,250.72,247.01,1.78M,0.00260
2015-06-02,248.35,248.92,249.4,246.3,2.13M,-0.00440
2015-06-01,249.45,251.41,251.6,247.47,2.51M,-0.00540
2015-05-29,250.8,251,252.87,249.43,3.79M,-0.00260
2015-05-28,251.45,247.03,251.8,245.05,3.65M,0.01620
2015-05-27,247.43,248.51,249.5,245.55,3.41M,-0.00010
2015-05-26,247.46,247.68,252,246.5,3.50M,-0.00110
2015-05-22,247.73,245.38,248.6,245.01,2.22M,0.00860
2015-05-21,245.62,243.03,246.62,242.36,1.97M,0.00520
2015-05-20,244.35,247.13,247.74,241.37,3.76M,-0.01130
2015-05-19,247.14,248.43,251,246.15,3.67M,-0.00650
2015-05-18,248.75,247,249.9,246,3.35M,-0.00040
2015-05-15,248.84,243.93,249.4,242.5,4.53M,0.01940
2015-05-14,244.1,244.82,244.89,241.25,2.90M,0.00380
2015-05-13,243.18,247.61,248.3,242.25,5.44M,-0.00640
2015-05-12,244.74,240.11,246.35,238.19,6.36M,0.02190
2015-05-11,239.49,236.29,242.88,235.31,5.67M,0.01220
2015-05-08,236.61,235.99,238.41,233.7,4.67M,-0.00080
2015-05-07,236.8,221,237.48,220.25,9.46M,0.02760
2015-05-06,230.43,234.1,234.47,228.2,5.27M,-0.01080
2015-05-05,232.95,237.76,239.5,229.13,5.80M,0.01060
2015-05-04,230.51,228.18,234.73,227.11,4.43M,0.01980
2015-05-01,226.03,229.94,231.77,220.41,5.28M,-0.00010
2015-04-30,226.05,230.39,232.89,225.17,3.91M,-0.02750
2015-04-29,232.45,230.05,234.97,227.63,3.94M,0.00850
2015-04-28,230.48,234.75,235.5,228.03,6.09M,-0.00460
2015-04-27,231.55,222.56,238.75,222,11.67M,0.06010
2015-04-24,218.43,220.5,220.8,218.01,2.43M,-0.00080
2015-04-23,218.6,218.27,221.48,217.15,4.41M,-0.00380
2015-04-22,219.44,212.5,221.88,211.69,7.86M,0.04790
2015-04-21,209.41,205.8,210.75,204.31,3.43M,0.02020
2015-04-20,205.27,206.78,207.85,203.85,2.56M,-0.00740
2015-04-17,206.79,204.99,206.88,203.5,2.47M,0.00040
2015-04-16,206.7,207.7,209.17,206.29,1.66M,-0.00540
2015-04-15,207.83,207.46,209.59,206.6,1.95M,0.00180
2015-04-14,207.46,208.57,209.49,205.5,3.03M,-0.01110
2015-04-13,209.78,210.44,213,209.05,3.76M,-0.00530
2015-04-10,210.9,209.85,211.65,209,4.07M,0.00390
2015-04-09,210.09,208.43,210.37,206.12,3.80M,0.01170
2015-04-08,207.67,208.2,210.9,205.87,6.30M,0.02170
2015-04-07,203.25,202.51,205.06,201.14,4.35M,0.00070
2015-04-06,203.1,198,207.75,197.5,12.46M,0.06340
2015-04-02,191,190.23,193.23,190,5.01M,0.01820
2015-04-01,187.59,188.7,192.3,186.05,3.79M,-0.00630
2015-03-31,188.77,193.53,193.76,188.41,5.03M,-0.00940
2015-03-30,190.57,185.85,192.25,181.8,10.09M,0.03010
2015-03-27,185,189.07,189.29,181.4,8.60M,-0.02840
2015-03-26,190.41,193.92,194.79,189.7,4.13M,-0.02000
2015-03-25,194.3,198.27,198.59,192.7,5.73M,-0.03680
2015-03-24,201.72,201.58,203.79,199.75,3.65M,0.01050
2015-03-23,199.63,198.5,200.5,197.47,2.63M,0.00780
2015-03-20,198.08,197.45,198.99,195.62,4.27M,0.01240
2015-03-19,195.65,202,204.59,194.53,8.48M,-0.02520
2015-03-18,200.71,194.96,200.88,193.11,4.82M,0.03070
2015-03-17,194.73,195.43,198.71,193.94,4.89M,-0.00500
2015-03-16,195.7,192,195.91,189.8,5.63M,0.03720
2015-03-13,188.68,188.95,191.75,187.32,5.43M,-0.01250
2015-03-12,191.07,193.75,194.45,189.75,4.15M,-0.01380
2015-03-11,193.74,191.15,196.18,191.01,4.97M,0.01800
2015-03-10,190.32,188.46,193.5,187.6,5.58M,-0.00290
2015-03-09,190.88,194.39,194.49,188.25,6.74M,-0.01550
